RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
97.0,Ty Montgomery,41.0,15.0,44.0,2.9,9.0,0.0,0.0,16.0,26.0,95.0,5.9,0.0,0.0,14.0,19.0,1.3,25.0,1.7,2.0,2.0,18.0,300.0,0.0,29.9,2.1
98.0,Corey Clement,40.0,33.0,140.0,4.2,38.0,2.0,0.0,6.0,7.0,29.0,4.8,1.0,0.0,11.0,65.0,2.0,75.0,2.3,3.0,4.0,3.0,77.0,0.0,28.9,2.6
99.0,Trey Sermon,45.0,41.0,167.0,4.1,16.0,0.0,1.0,3.0,4.0,26.0,8.7,0.0,0.0,6.0,88.0,2.1,79.0,1.9,3.0,0.0,0.0,107.0,1.0,28.3,4.7
100.0,Eno Benjamin,41.0,34.0,118.0,3.5,21.0,1.0,1.0,6.0,7.0,42.0,7.0,0.0,0.0,8.0,53.0,1.6,65.0,1.9,1.0,1.0,25.0,92.0,0.0,28.0,3.5
101.0,Adrian Peterson,42.0,38.0,98.0,2.6,16.0,0.0,2.0,4.0,4.0,8.0,2.0,0.0,0.0,4.0,39.0,1.0,59.0,1.6,1.0,1.0,4.0,72.0,5.0,26.6,6.7
102.0,Jermar Jefferson,20.0,15.0,74.0,4.9,28.0,1.0,2.0,4.0,5.0,23.0,5.8,0.0,0.0,5.0,50.0,3.3,24.0,1.6,0.0,0.0,4.0,33.0,0.0,25.7,5.1
103.0,Alec Ingold,14.0,2.0,1.0,0.5,1.0,0.0,0.0,10.0,12.0,85.0,8.5,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,116.0,1.0,24.6,3.5
104.0,Jalen Richard,23.0,9.0,40.0,4.4,23.0,1.0,0.0,12.0,14.0,72.0,6.0,0.0,0.0,9.0,23.0,2.6,17.0,1.9,0.0,2.0,18.0,103.0,0.0,23.2,2.6
105.0,Kene Nwangwu,18.0,13.0,61.0,4.7,19.0,0.0,0.0,4.0,5.0,9.0,2.3,0.0,0.0,9.0,32.0,2.5,29.0,2.2,2.0,1.0,2.0,29.0,1.0,23.0,2.6
106.0,Malcolm Brown,38.0,33.0,125.0,3.8,24.0,1.0,1.0,3.0,5.0,10.0,3.3,0.0,0.0,6.0,70.0,2.1,55.0,1.7,3.0,1.0,2.0,124.0,4.0,22.5,3.8
107.0,Tony Jones Jr.,62.0,54.0,142.0,2.6,11.0,0.0,0.0,5.0,8.0,29.0,5.8,0.0,0.0,10.0,78.0,1.4,64.0,1.2,2.0,1.0,1.0,132.0,1.0,22.1,2.2
108.0,Patrick Ricard,15.0,2.0,4.0,2.0,2.0,0.0,0.0,8.0,13.0,63.0,7.9,1.0,0.0,8.0,1.0,0.5,3.0,1.5,0.0,2.0,16.0,376.0,0.0,20.7,2.6
109.0,Jonathan Williams,23.0,17.0,79.0,4.6,23.0,1.0,1.0,4.0,6.0,28.0,7.0,0.0,0.0,5.0,26.0,1.5,53.0,3.1,2.0,0.0,5.0,55.0,2.0,20.7,4.1
110.0,Qadree Ollison,27.0,21.0,105.0,5.0,19.0,0.0,1.0,4.0,6.0,12.0,3.0,0.0,1.0,6.0,57.0,2.7,48.0,2.3,1.0,2.0,2.0,69.0,0.0,19.7,3.3
111.0,Austin Walter,29.0,26.0,101.0,3.9,14.0,0.0,1.0,2.0,3.0,9.0,4.5,0.0,0.0,4.0,68.0,2.6,33.0,1.3,0.0,0.0,7.0,55.0,2.0,19.0,4.8
112.0,J.J. Taylor,23.0,19.0,37.0,1.9,15.0,0.0,2.0,4.0,4.0,8.0,2.0,0.0,1.0,5.0,25.0,1.3,12.0,0.6,0.0,0.0,5.0,52.0,3.0,18.5,3.7
113.0,Godwin Igwebuike,28.0,18.0,118.0,6.6,42.0,3.0,1.0,7.0,10.0,60.0,8.6,0.0,2.0,15.0,56.0,3.1,62.0,3.4,1.0,0.0,9.0,98.0,0.0,18.0,1.2
114.0,Keith Smith,19.0,9.0,31.0,3.4,8.0,0.0,0.0,9.0,10.0,56.0,6.2,0.0,0.0,13.0,19.0,2.1,12.0,1.3,0.0,0.0,17.0,207.0,0.0,17.7,1.4
115.0,Patrick Taylor Jr.,25.0,23.0,89.0,3.9,12.0,0.0,1.0,2.0,2.0,3.0,1.5,0.0,0.0,5.0,53.0,2.3,36.0,1.6,2.0,1.0,0.0,61.0,0.0,17.2,3.4
116.0,Joshua Kelley,39.0,33.0,102.0,3.1,14.0,0.0,0.0,5.0,6.0,38.0,7.6,0.0,1.0,8.0,59.0,1.8,43.0,1.3,2.0,1.0,12.0,134.0,2.0,17.0,2.1
