"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Jason Huntley","PHI","1","0","0","0","0","0","8","2","bye","0","0","0","0","0","0","0","20","31","6.2"
"D'Onta Foreman","TEN","0","0","0","bye","0","0","0","6","8","9","1","5","0","0","0","0","0","29","4.8"
"Antonio Williams","BUF","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","28","28","28.0"
"Jonathan Williams","DET","0","0","0","0","bye","0","0","0","0","0","0","21","6","0","0","0","0","27","5.4"
"Devine Ozigbo","JAC","0","0","0","0","0","0","0","bye","0","0","4","2","0","6","3","11","1","27","3.4"
"D.J. Foster","ARI","0","0","0","0","0","0","0","bye","5","0","0","0","0","0","0","17","3","25","2.5"
"Reggie Bonnafon","CAR","0","0","2","21","0","0","0","0","0","0","0","0","bye","0","0","0","0","23","11.5"
"Dontrell Hilliard","Multi","0","0","0","15","0","7","0","0","0","0","0","0","0","0","0","0","0","22","3.1"
"Jeremy Cox","DEN","0","0","0","0","bye","0","8","6","0","4","1","0","0","0","0","0","0","19","2.7"
"Qadree Ollison","ATL","0","0","1","0","0","0","0","8","5","bye","0","0","0","0","0","0","0","14","4.7"
"Rico Dowdle","DAL","0","0","0","1","0","3","0","0","0","bye","0","0","0","0","8","1","1","14","0.9"
"Artavis Pierce","CHI","0","0","0","0","0","0","0","0","1","6","bye","0","0","0","0","5","1","13","2.6"
"Bo Scarbrough","SEA","0","0","0","0","0","bye","0","0","0","0","12","0","0","0","0","0","0","12","12.0"
"Johnny Stanton IV","CLE","0","0","0","0","0","0","0","0","bye","0","12","0","0","0","0","0","0","12","12.0"
"Austin Walter","SF","0","0","0","0","0","0","0","0","0","12","bye","0","0","0","0","0","0","12","3.0"
"Dwayne Washington","NO","0","0","0","0","0","bye","0","0","8","0","0","3","0","0","0","0","0","11","1.0"
"Marlon Mack","IND","11","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","11","11.0"
"LeVante Bellamy","DEN","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","8","1","9","1.8"
"Scottie Phillips","HOU","0","0","0","0","0","0","0","bye","0","0","0","4","0","1","4","0","0","9","1.1"
"Adrian Killins Jr.","PHI","0","0","0","8","0","0","0","0","bye","0","0","0","0","0","0","0","0","8","8.0"
"Trey Edmunds","PIT","0","0","0","bye","6","0","1","0","0","0","0","0","0","0","0","0","0","7","1.8"
"Dexter Williams","GB","0","0","0","0","bye","0","0","0","4","0","0","0","0","0","0","3","0","7","2.3"
"Cullen Gillaspia","HOU","0","0","1","0","1","0","0","bye","4","1","0","0","0","0","0","0","0","7","1.0"
"Kenjon Barner","TB","0","0","0","4","0","0","0","0","0","0","0","0","bye","0","1","1","0","6","1.0"
"Tony Brooks-James","ATL","0","0","0","0","0","0","0","0","0","bye","0","6","0","0","0","0","0","6","6.0"
"Lamar Miller","CHI","0","0","0","0","0","0","0","0","0","5","bye","0","0","0","0","0","0","5","5.0"
"Tony Jones Jr.","NO","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","5","5","5.0"
"Taiwan Jones","BUF","0","0","0","1","1","0","0","0","0","0","bye","0","0","0","1","1","0","4","0.3"
"Jonathan Ward","ARI","0","0","0","0","3","0","0","bye","0","0","0","0","0","0","0","0","1","4","0.3"
"Craig Reynolds","JAC","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","3","0","3","1.5"
"Senorise Perry","TEN","0","2","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.3"
"Nathan Cottrell","JAC","2","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","2","0.3"
""
""
