"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Rashaad Penny","PHI","0","9","0","0","0","0","0","0","2","bye","0","0","0","0","0","0","0","20","31","10.3"
"J.K. Dobbins","BAL","30","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","30","30.0"
"Damien Williams","ARI","0","0","0","0","0","13","12","3","0","0","0","0","0","bye","0","0","0","0","28","9.3"
"Leonard Fournette","BUF","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","10","0","16","26","13.0"
"Derrick Gore","WAS","0","0","0","6","7","0","0","0","0","0","3","0","0","bye","0","7","0","1","24","4.8"
"Chris Evans","CIN","7","0","0","0","3","2","bye","4","5","2","1","0","0","0","0","0","0","0","24","3.4"
"Kenyan Drake","Multi","0","0","11","0","1","0","0","0","0","0","0","0","0","0","5","0","0","0","17","5.7"
"Zach Evans","LAR","0","0","0","0","0","6","0","0","0","bye","1","3","0","0","0","0","0","6","16","4.0"
"Elijah Dotson","LAC","1","9","1","5","bye","0","0","0","0","0","0","0","0","0","0","0","0","0","16","4.0"
"Jashaun Corbin","NYG","0","0","0","0","0","0","0","0","0","15","0","0","bye","0","0","0","0","0","15","15.0"
"Jonathan Williams","WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","13","0","0","0","13","13.0"
"Jake Funk","IND","13","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","13","13.0"
"Kene Nwangwu","MIN","0","0","0","0","0","0","0","0","0","3","0","0","bye","3","7","0","0","0","13","4.3"
"Henry Pearson","GB","0","0","0","0","0","bye","0","0","0","0","0","2","9","0","0","0","0","0","11","5.5"
"Jonathan Ward","TEN","0","0","0","0","0","0","bye","3","0","0","0","0","0","1","0","0","3","3","10","2.5"
"Zonovan Knight","DET","0","0","7","0","2","0","0","0","bye","0","0","0","0","0","0","0","0","0","9","4.5"
"Devine Ozigbo","DET","0","0","0","0","0","6","0","2","bye","0","0","0","0","0","0","0","0","0","8","4.0"
"Evan Hull","IND","8","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","8","8.0"
"Tyrion Davis-Price","SF","0","0","0","0","7","0","0","0","bye","0","0","0","0","0","0","0","0","0","7","7.0"
"Julius Chestnut","TEN","6","1","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","7","3.5"
"Travis Homer","CHI","0","0","2","0","0","0","3","1","0","0","0","0","bye","0","0","0","0","0","6","2.0"
"Anthony McFarland Jr.","PIT","5","0","0","0","0","bye","0","0","0","1","0","0","0","0","0","0","0","0","6","3.0"
"JaMycal Hasty","Multi","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3.0"
"Brandon Bolden","LV","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","2","1","2","0","5","1.7"
"James Robinson","GB","0","0","0","0","0","bye","0","0","0","0","0","0","4","0","0","0","0","0","4","4.0"
"Jordan Mims","NO","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","3","3","3.0"
"Godwin Igwebuike","Multi","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1.0"
"SaRodorick Thompson Jr.","SEA","0","0","0","0","bye","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2.0"
"Dwayne Washington","DEN","0","0","0","0","0","0","0","1","bye","0","0","0","0","0","0","0","0","0","1","1.0"
"Qadree Ollison","PIT","0","0","1","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","1","1.0"
"Ben Mason","BAL","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","1","1","1.0"
""
""
