"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Josh Adams","PHI","0","0","8","1","1","0","8","18","bye","19","28","40","41","21","24","25","18","252","15.8"
"Alfred Morris","SF","33","31","23","14","44","1","20","12","10","14","bye","0","0","4","0","0","44","250","20.8"
"Spencer Ware","KC","9","6","18","24","8","16","22","9","14","21","11","bye","49","41","0","0","0","248","19.1"
"Andy Janovich","DEN","14","11","13","17","10","17","20","18","15","bye","9","21","23","13","16","12","11","240","15.0"
"Corey Clement","PHI","13","33","45","0","0","26","25","13","bye","18","14","24","23","4","0","0","0","238","21.6"
"Cordarrelle Patterson","NE","16","28","19","41","8","6","6","13","13","10","bye","22","8","18","5","17","0","230","15.3"
"Jaylen Samuels","PIT","0","0","0","0","2","0","bye","7","6","18","2","4","17","48","40","53","31","228","16.3"
"Zach Line","NO","11","22","12","18","15","bye","13","7","23","17","13","12","1","17","16","12","17","226","14.1"
"Marshawn Lynch","Multi","24","42","42","50","21","30","0","0","0","0","0","0","0","0","0","0","0","209","34.8"
"Bilal Powell","NYJ","24","34","34","36","34","32","14","0","0","0","bye","0","0","0","0","0","0","208","29.7"
"Damien Williams","KC","7","9","7","3","2","3","2","0","0","1","0","bye","19","43","44","39","28","207","12.9"
"Jordan Wilkins","IND","46","23","17","33","18","0","15","4","bye","5","11","8","5","0","2","0","13","200","12.5"
"Chase Edmonds","ARI","17","10","8","7","3","4","23","13","bye","17","11","9","13","10","25","13","16","199","12.4"
"Jeff Wilson Jr.","SF","0","0","0","0","0","0","0","0","0","0","bye","25","54","62","12","38","6","197","32.8"
"Marcus Murphy","BUF","23","23","16","0","0","0","18","1","24","24","bye","2","6","40","19","0","0","196","17.8"
"Trenton Cannon","NYJ","12","0","0","0","1","3","23","29","7","13","bye","9","9","18","23","18","20","185","11.6"
"Ryan Hewitt","IND","0","17","16","14","16","12","26","22","bye","0","0","0","13","26","9","4","8","183","15.3"
"Rashaad Penny","SEA","25","20","10","16","0","13","bye","0","13","27","17","10","12","14","0","0","4","181","12.9"
"Kapri Bibbs","Multi","0","0","6","0","8","26","23","1","21","24","16","35","0","0","0","0","17","177","14.8"
"Patrick DiMarco","BUF","1","8","12","4","13","12","7","12","3","14","bye","6","10","12","15","3","36","168","10.5"
"Tommy Bohanon","JAC","12","5","5","2","11","4","10","6","bye","19","22","19","11","7","4","19","5","161","10.1"
"Keith Smith","LV","6","8","19","13","7","6","0","11","10","9","14","6","9","5","7","21","10","161","10.1"
"Wayne Gallman Jr.","NYG","6","5","16","9","8","17","5","2","bye","5","6","14","15","27","0","8","12","155","10.3"
"C.J. Anderson","Multi","12","8","3","0","7","1","3","12","3","6","0","0","0","0","0","51","47","153","13.9"
"Kenneth Dixon","BAL","22","0","0","0","0","0","0","0","0","bye","0","0","17","23","39","29","22","152","25.3"
"Rex Burkhead","NE","38","14","7","0","0","0","0","0","0","0","bye","0","17","17","16","25","17","151","18.9"
"Rod Smith","DAL","4","3","3","13","11","8","0","bye","7","10","8","5","8","13","6","3","48","150","9.4"
"Darren Sproles","PHI","29","0","0","0","0","0","0","0","bye","0","0","0","9","23","20","41","27","149","24.8"
"Justin Jackson","LAC","0","0","0","0","0","7","5","bye","0","0","0","13","14","21","56","21","12","149","11.5"
"Derek Watt","LAC","7","7","8","11","14","10","3","bye","11","11","10","12","2","10","6","3","21","146","9.1"
"Ricky Ortiz","ATL","10","12","9","12","13","13","13","bye","6","0","0","7","9","0","0","16","20","140","11.7"
"C.J. Ham","MIN","13","7","17","20","8","14","2","10","2","bye","3","8","5","9","18","3","0","139","9.3"
"Elijhaa Penny","Multi","0","0","6","5","0","3","6","2","0","7","16","12","16","15","6","17","13","124","8.9"
"Malcolm Brown","LAR","4","23","13","2","0","16","25","9","6","8","14","bye","3","0","0","0","0","123","10.3"
"Jay Ajayi","PHI","29","22","0","40","29","0","0","0","bye","0","0","0","0","0","0","0","0","120","30.0"
"Zach Zenner","DET","0","0","0","0","0","bye","0","0","0","2","3","4","3","16","26","27","37","118","14.8"
"Alex Armah Jr.","CAR","20","3","17","bye","10","2","3","10","10","7","1","4","1","5","3","8","12","116","7.3"
"Jamize Olawale","DAL","6","9","3","6","6","8","1","bye","4","9","10","8","9","11","5","5","14","114","7.1"
"Roosevelt Nix","PIT","19","5","11","1","8","17","bye","10","0","6","4","8","3","4","5","6","5","112","7.0"
"Anthony Sherman","KC","17","13","8","4","5","2","11","4","5","4","1","bye","6","6","3","2","7","98","6.1"
"Patrick Ricard","BAL","14","5","13","12","5","0","2","5","9","bye","16","17","0","0","0","0","0","98","9.8"
"Mark Walton","CIN","0","0","7","28","12","19","13","11","bye","2","0","0","1","0","0","0","0","93","6.6"
"Kalen Ballage","MIA","0","0","0","1","2","0","3","1","4","5","bye","2","8","0","26","14","26","92","7.7"
"Raheem Mostert","SF","1","0","3","1","13","23","23","12","14","0","bye","0","0","0","0","0","0","90","10.0"
"Ronald Jones II","TB","0","0","0","20","bye","12","29","11","0","0","0","0","9","4","4","0","1","90","10.0"
"Tre Madden","SEA","6","6","9","4","6","6","bye","6","4","3","6","3","0","0","7","17","3","86","6.1"
"Tyler Ervin","Multi","7","0","0","0","3","0","22","35","10","0","0","0","0","0","0","0","0","77","8.6"
"Derrick Coleman","ARI","5","3","5","4","9","5","1","1","bye","8","5","4","8","4","3","1","8","74","4.6"
"Keith Ford","BUF","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","41","30","0","71","35.5"
"DeAndre Washington","LV","0","0","0","0","0","0","0","2","10","6","23","8","6","1","2","5","7","70","7.0"
"Taquan Mizzell","CHI","0","0","0","0","bye","0","0","0","7","8","1","9","14","6","11","9","5","70","7.8"
"Devonta Freeman","ATL","39","0","0","0","28","0","0","bye","0","0","0","0","0","0","0","0","0","67","33.5"
"Brian Hill","ATL","0","0","0","0","0","0","0","bye","0","0","0","6","0","9","5","14","32","66","6.6"
"Corey Grant","JAC","6","30","20","7","2","0","0","0","bye","0","0","0","0","0","0","0","0","65","13.0"
"Stevan Ridley","PIT","0","3","5","0","12","6","bye","6","0","10","0","0","0","8","6","5","0","61","6.1"
"Dontrell Hilliard","CLE","0","0","0","0","0","0","0","15","4","9","bye","3","12","4","2","8","1","58","5.3"
"John Kelly Jr.","LAR","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","7","17","26","50","12.5"
"Michael Burton","CHI","9","0","1","7","bye","0","0","0","8","7","0","0","1","10","0","6","0","49","6.1"
"Cameron Artis-Payne","CAR","0","0","0","bye","0","0","0","0","0","0","3","1","1","1","0","4","38","48","5.3"
"Byron Marshall","WAS","0","0","0","bye","0","0","0","0","0","0","17","1","0","19","7","3","1","48","8.0"
"Kenjon Barner","Multi","0","0","0","10","0","5","17","6","3","0","0","0","0","0","0","6","0","47","5.2"
"Dwayne Washington","NO","0","0","0","2","0","bye","0","0","0","16","4","0","0","0","0","0","24","46","3.5"
"Darrel Williams","KC","0","0","0","0","0","0","0","0","0","1","0","bye","3","2","15","3","16","40","6.7"
"Benny Cunningham Jr.","CHI","0","0","6","4","bye","5","0","5","6","1","0","0","0","2","0","0","8","37","2.5"
"Mike Boone","MIN","0","0","13","4","1","3","8","7","0","bye","0","0","0","0","0","0","0","36","4.5"
"D'Onta Foreman","HOU","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","31","0","31","31.0"
"Charcandrick West","KC","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","1","19","10","30","10.0"
"C.J. Prosise","SEA","7","18","0","3","0","0","bye","0","0","2","0","0","0","0","0","0","0","30","6.0"
"Samaje Perine","WAS","0","0","0","bye","0","8","2","0","15","0","0","0","0","0","0","0","5","30","6.0"
"Roc Thomas","MIN","0","0","0","4","14","5","3","3","0","bye","0","0","0","0","0","0","0","29","5.8"
"Detrez Newsome","LAC","0","3","0","0","0","0","0","bye","0","0","0","8","0","0","18","0","0","29","3.2"
"Brandon Bolden","MIA","0","0","0","0","0","0","0","0","0","0","bye","0","3","4","3","8","7","25","1.6"
"Mike Gillislee","NO","7","9","4","5","0","bye","0","0","0","0","0","0","0","0","0","0","0","25","6.3"
"Travaris Cadet","CAR","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","24","24","24.0"
"Robert Turbin","IND","0","0","0","0","9","13","0","0","bye","0","0","0","0","0","0","0","0","22","11.0"
"Shaun Wilson","TB","2","3","3","0","bye","0","0","0","4","10","0","0","0","0","0","0","0","22","4.4"
"T.J. Logan","ARI","0","0","0","0","0","0","0","1","bye","3","1","2","3","1","10","0","0","21","2.1"
"Jamaal Charles","JAC","0","0","0","0","0","17","3","0","bye","0","0","0","0","0","0","0","0","20","10.0"
"David Williams","Multi","0","0","0","0","0","0","6","0","0","0","0","0","0","0","8","2","4","20","3.3"
"Danny Vitale","Multi","0","0","0","0","0","0","0","0","0","0","0","0","3","2","4","8","2","19","3.8"
"Jonathan Williams","Multi","3","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","6.0"
"Darius Jackson","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","18","4.5"
"Joe Williams","FA","3","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","6.0"
"Jonathan Stewart","NYG","10","5","2","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","17","5.7"
"Ameer Abdullah","Multi","0","0","0","0","0","0","7","4","0","0","1","2","2","0","1","0","0","17","1.7"
"Jeremy Langford","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","16","16.0"
"Jeremy Hill","NE","12","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","12","12.0"
"De'Lance Turner","BAL","0","1","0","4","5","0","0","0","0","bye","0","0","0","0","0","0","0","10","2.5"
"Brandon Wilds","Multi","0","5","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","9","3.0"
"Robert Kelley","WAS","8","1","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4.5"
"J.D. McKissic","SEA","0","0","0","0","0","0","bye","0","0","0","0","0","2","1","3","2","1","9","1.8"
"Shane Smith","NYG","5","4","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","9","4.5"
"Donnie Ernsberger","TB","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","3","4","7","3.5"
"David Fluellen","TEN","0","0","0","0","0","0","3","bye","0","3","0","0","0","0","0","0","0","6","0.9"
"Tra Carson","Multi","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0.8"
"Justin Davis","LAR","0","0","0","0","0","0","0","0","0","0","0","bye","0","1","4","0","0","5","0.5"
"Christine Michael","IND","3","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","3","3.0"
"Matt Dayes","SF","0","0","0","0","0","0","0","0","0","1","bye","0","1","0","0","0","1","3","0.4"
"De'Angelo Henderson Sr.","NYJ","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","3","3","1.5"
"Buddy Howell","HOU","0","0","0","0","0","0","0","0","0","bye","0","1","1","0","1","0","0","3","0.2"
"Taiwan Jones","BUF","0","0","0","1","1","0","0","0","0","0","bye","0","0","0","0","0","0","2","0.3"
"Jeremy McNichols","Multi","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2.0"
"Dare Ogunbowale","TB","0","0","0","0","bye","0","0","0","0","0","0","2","0","0","0","0","0","2","1.0"
"Trey Edmunds","PIT","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","1","0","1","0.3"
""
""
