"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"77","Patrick Taylor Jr. (GB)","1","1","1.0","0","5.6%","0","0","0%","0","0","0","0%","0","11","0.1","0.0","1.6%"
"78","Jeff Wilson Jr. (MIA)","1","1","1.0","0","3.7%","0","0","0%","0","0","0","0.0%","0","10","0.1","0.0","16.3%"
"79","Salvon Ahmed (MIA)","1","0","0.0","0","3.7%","0","0","0%","0","0","0","0.0%","0","9","0.0","0.0","1.0%"
"80","Khari Blasingame (CHI)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","0.0%"
"81","Derrick Gore (WAS)","1","0","0.0","0","7.7%","0","0","0%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"82","Leonard Fournette (FA)","1","0","0.0","0","5.0%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","3.0%"
"83","Michael Burton (DEN)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","17","0.0","0.0","0.1%"
"84","Raheem Blackshear (CAR)","0","0","0","0","0.0%","0","0","0%","0","0","0","0%","0","11","0.0","0.0","0.4%"
"85","Deon Jackson (NYG)","1","0","0.0","0","14.3%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","1.2%"
"86","Deuce Vaughn (DAL)","1","0","0.0","0","4.3%","0","0","0%","0","0","0","0%","0","7","0.0","0.0","1.2%"
"87","Jaylen Warren (PIT)","4","-1","-0.3","0","28.6%","0","0","0%","0","0","0","0.0%","0","17","-0.1","0.0","81.7%"
"88","Michael Carter (ARI)","1","-1","-1.0","0","25.0%","0","0","0%","0","0","0","0.0%","0","15","-0.1","0.0","1.4%"
"89","Emari Demercado (ARI)","1","-1","-1.0","0","7.1%","0","0","0%","0","0","0","0.0%","0","14","-0.1","0.0","4.4%"
"90","Ke'Shawn Vaughn (NE)","1","-2","-2.0","0","8.3%","0","0","0%","0","0","0","0%","0","5","-0.2","0.0","0.2%"
"91","Boston Scott (PHI)","1","-7","-7.0","0","5.6%","0","0","0%","0","0","0","0%","0","12","-0.7","-0.1","0.4%"
""
""
