"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"83","Logan Thomas (WAS)","12","12","77","6.4","43","3.6","43","3.6","34","2.8","13","1.1","0","17","3.5%","13","1","0","1","1","0","0","0","24"
"84","Matt Lengel (FA)","11","3","17","5.7","10","3.3","10","3.3","7","2.3","3","1.0","0","8","1.5%","3","0","1","0","0","0","0","0","9"
"85","Tyler Conklin (NYJ)","16","5","77","15.4","46","9.2","46","9.2","31","6.2","2","0.4","0","7","1.2%","6","1","0","3","2","1","0","0","33"
"86","Jermaine Gresham (FA)","13","9","94","10.4","19","2.1","19","2.1","75","8.3","24","2.7","1","12","2.5%","11","2","2","4","1","0","0","0","26"
"87","Eric Tomlinson (HOU)","15","8","72","9.0","-17","-2.1","-17","-2.1","89","11.1","29","3.6","2","14","2.8%","10","2","0","4","1","0","0","0","24"
"88","Joshua Perkins (FA)","9","5","67","13.4","51","10.2","51","10.2","16","3.2","1","0.2","0","11","1.9%","7","2","1","3","1","1","0","0","30"
"89","Blake Bell (KC)","10","8","67","8.4","29","3.6","29","3.6","38","4.8","13","1.6","1","11","2.1%","8","0","0","3","0","0","0","0","16"
"90","Xavier Grimble (FA)","16","6","86","14.3","30","5.0","30","5.0","56","9.3","10","1.7","0","8","1.2%","6","0","0","4","2","0","0","0","23"
"91","David Grinnage (FA)","4","6","61","10.2","43","7.2","43","7.2","18","3.0","8","1.3","0","8","1.5%","6","0","0","2","1","0","0","0","24"
"92","Delanie Walker (FA)","1","4","52","13.0","32","8.0","32","8.0","20","5.0","11","2.8","0","7","1.6%","4","0","0","3","0","0","0","0","16"
"93","Jacob Hollister (FA)","8","4","52","13.0","36","9.0","36","9.0","16","4.0","0","0.0","0","5","0.9%","4","0","0","2","1","0","0","0","23"
"94","Durham Smythe (MIA)","15","6","50","8.3","43","7.2","43","7.2","7","1.2","1","0.2","0","11","2.5%","6","0","0","1","1","0","0","0","21"
"95","Antony Auclair (FA)","16","7","48","6.9","40","5.7","40","5.7","8","1.1","3","0.4","0","8","1.3%","7","0","0","1","0","0","0","0","12"
"96","Eric Saubert (MIA)","16","5","48","9.6","35","7.0","35","7.0","13","2.6","3","0.6","0","9","1.5%","8","3","1","1","0","0","0","0","17"
"97","Neal Sterling (FA)","5","6","47","7.8","18","3.0","18","3.0","29","4.8","8","1.3","1","8","1.6%","6","0","1","2","0","0","0","0","12"
"98","Rico Gathers (FA)","15","3","45","15.0","18","6.0","18","6.0","27","9.0","3","1.0","0","7","1.4%","3","0","1","2","1","1","0","0","32"
"99","Ben Braunecker (FA)","15","3","42","14.0","38","12.7","38","12.7","4","1.3","1","0.3","0","5","1.0%","3","0","0","2","1","0","0","0","20"
"100","Marcedes Lewis (FA)","16","3","39","13.0","8","2.7","8","2.7","31","10.3","4","1.3","0","4","0.7%","3","0","0","1","1","1","0","0","30"
"101","John Phillips (FA)","8","3","38","12.7","30","10.0","30","10.0","8","2.7","0","0.0","0","3","0.6%","3","0","0","1","1","0","0","0","24"
"102","Tyler Kroft (MIA)","5","4","36","9.0","19","4.8","19","4.8","17","4.3","6","1.5","1","6","1.1%","5","1","1","1","0","0","0","0","16"
"103","David Morgan II (FA)","11","5","36","7.2","9","1.8","9","1.8","27","5.4","2","0.4","0","6","1.0%","5","0","1","1","0","0","0","0","13"
"104","Brian Parker (FA)","13","5","33","6.6","4","0.8","4","0.8","29","5.8","5","1.0","1","10","1.8%","6","1","0","2","0","0","0","0","11"
"105","Dwayne Allen (FA)","13","3","27","9.0","-1","-0.3","-1","-0.3","28","9.3","2","0.7","0","4","0.7%","3","0","0","2","1","0","0","0","21"
"106","Orson Charles (FA)","13","3","23","7.7","-1","-0.3","-1","-0.3","24","8.0","10","3.3","0","5","0.9%","4","1","0","0","0","0","0","0","9"
"107","Dion Sims (FA)","8","2","9","4.5","0","0.0","0","0.0","9","4.5","0","0.0","0","4","0.8%","3","1","0","0","0","0","0","0","9"
"108","Alan Cross (FA)","14","2","9","4.5","2","1.0","2","1.0","7","3.5","0","0.0","0","5","0.8%","3","1","1","0","0","0","0","0","6"
""
""
