"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"157","Darius Jennings (FA)","16","11","101","9.2","64","5.8","64","5.8","37","3.4","8","0.7","0","15","3.4%","12","1","0","2","1","1","0","0","36"
"158","Tommylee Lewis (FA)","7","3","60","20.0","59","19.7","59","19.7","1","0.3","0","0.0","0","3","0.5%","3","0","0","3","2","0","0","0","28"
"159","De'Anthony Thomas (FA)","5","3","29","9.7","-1","-0.3","-1","-0.3","30","10.0","6","2.0","0","5","0.9%","3","0","1","2","0","0","0","0","15"
"160","Eli Rogers (FA)","3","12","79","6.6","39","3.3","39","3.3","40","3.3","12","1.0","1","14","2.1%","12","0","0","2","0","0","0","0","17"
"161","Kevin White (FA)","9","4","92","23.0","86","21.5","86","21.5","6","1.5","0","0.0","0","8","1.6%","4","0","0","3","2","1","1","1","54"
"162","Cameron Batson (FA)","11","8","82","10.3","28","3.5","28","3.5","54","6.8","6","0.8","0","11","2.0%","8","0","0","4","1","0","0","0","26"
"163","Corey Coleman (FA)","8","5","71","14.2","63","12.6","63","12.6","8","1.6","4","0.8","0","8","1.6%","6","1","0","3","1","1","0","0","30"
"164","J.J. Nelson (FA)","14","7","64","9.1","40","5.7","40","5.7","24","3.4","5","0.7","0","19","4.0%","7","0","0","3","0","0","0","0","17"
"165","Russell Gage (TB)","15","6","63","10.5","44","7.3","44","7.3","19","3.2","6","1.0","0","10","1.7%","8","2","0","2","1","0","0","0","22"
"166","Derrick Willies (FA)","5","3","61","20.3","29","9.7","29","9.7","32","10.7","32","10.7","0","5","0.9%","3","0","0","2","1","1","0","0","39"
"167","Noah Brown (HOU)","8","5","54","10.8","34","6.8","34","6.8","20","4.0","8","1.6","0","8","1.5%","5","0","2","2","1","0","0","0","22"
"168","Kamar Aiken (FA)","5","6","53","8.8","42","7.0","42","7.0","11","1.8","4","0.7","0","7","1.2%","6","0","0","3","0","0","0","0","18"
"169","Dwayne Harris (FA)","15","6","40","6.7","-7","-1.2","-7","-1.2","47","7.8","20","3.3","1","6","1.1%","6","0","1","1","0","0","0","0","13"
"170","Bobo Wilson (FA)","5","4","52","13.0","32","8.0","32","8.0","20","5.0","0","0.0","0","5","0.8%","4","0","0","2","1","0","0","0","25"
"171","Jawill Davis (FA)","7","4","40","10.0","36","9.0","36","9.0","4","1.0","2","0.5","0","8","1.6%","4","0","0","2","1","0","0","0","22"
"172","Rashad Greene (FA)","8","6","60","10.0","45","7.5","45","7.5","15","2.5","7","1.2","0","8","1.5%","7","1","0","4","0","0","0","0","12"
"173","Chad Beebe (FA)","3","4","39","9.8","27","6.8","27","6.8","12","3.0","0","0.0","0","4","0.7%","4","0","0","2","0","0","0","0","18"
"174","Jalen Tolliver (FA)","3","3","37","12.3","23","7.7","23","7.7","14","4.7","7","2.3","0","6","1.3%","3","0","0","3","0","0","0","0","15"
"175","Auden Tate (FA)","7","4","35","8.8","33","8.3","33","8.3","2","0.5","1","0.3","0","12","2.3%","5","1","2","2","0","0","0","0","15"
"176","Javon Wims (CAR)","4","4","32","8.0","30","7.5","30","7.5","2","0.5","2","0.5","0","5","1.0%","4","0","0","1","0","0","0","0","16"
