"46","DJ Moore","WR","CHI","15.4","21.9","20.5","31.9","8.8","10.9","13.3","9.9","7.6","6.4","16","14.3","-","14.4","12.8","10.5","5.9","17","14","237.5"
"47","Matt Ryan","QB","FA","7.4","19.3","15.6","29","21.6","-","18.4","8.1","28.5","2.7","4.1","11.2","12.1","11.9","13.4","13.1","6.6","11.8","13.8","234.9"
"48","Alvin Kamara","RB","NO","18.1","7","20.8","12","29.2","BYE","33.9","16.6","20.4","-","-","-","-","24.5","5.1","7.9","21","18.2","18.1","234.7"
"49","Cordarrelle Patterson","RB","ATL","8.7","23.9","16.2","34.6","18.4","BYE","14.1","18.2","19.6","4.9","-","27.5","12.6","13.9","4.3","8.3","7.2","2.2","14.7","234.6"
"50","CeeDee Lamb","WR","DAL","23.4","17.4","9.5","3.3","18.8","36.1","BYE","17.2","4.3","28.6","4.4","-","19.2","14.6","11","10.4","8.1","6.5","14.6","232.8"
"51","Brandin Cooks","WR","DAL","18.2","22.8","20.7","9.7","5.3","17.9","7.1","20.3","11.6","-","3.8","13.5","8.4","18.1","29.2","-","19.6","5.6","14.5","231.8"
"52","Antonio Gibson","RB","WAS","11.8","9.3","17.4","15.5","21.2","4.4","7.6","8.4","BYE","21.8","7.5","23.6","22.1","4.1","18.5","13.8","-","22.1","14.3","229.1"
"53","Aaron Jones","RB","GB","4.2","41.5","17.6","10.9","14.9","21","8.9","24","5.3","12.6","-","2.3","BYE","21.5","15","13.7","15.6","-","15.3","229"
"54","Ben Roethlisberger","QB","FA","12","14.8","15.2","10.3","16","10.9","-","14.6","16.2","-","22.9","10.5","19.3","25.8","11.9","7.4","7.8","12.4","14.3","228.1"
"55","Amon-Ra St. Brown","WR","DET","4.3","4.8","1.2","13","13.5","9.6","-","7.6","BYE","10.1","5.8","6.3","24.8","15.3","23.5","26","35.4","26.1","14.2","227.3"
"56","Marquise Brown","WR","ARI","19.4","23.3","8.3","19.1","33.5","7.5","19","-","20.6","9.7","-","13.1","10.5","9.1","14.3","9.4","3.8","5.7","14.1","226.3"
"57","Josh Jacobs","RB","LV","17","-","-","10.7","16.7","15.2","15.8","BYE","13.5","8.6","11.1","19.2","24","10","12.4","11.4","18","22.4","15.1","226"
"58","Darnell Mooney","WR","CHI","7.6","12.6","1.9","18.5","6.5","15.5","5.9","12.4","20.6","BYE","23.1","17.5","7.7","2.9","11.6","10.9","19.9","24.6","12.9","219.7"
"59","Tee Higgins","WR","CIN","15.8","16","-","-","10.2","7.4","13.2","13.7","13.8","BYE","3.5","23.4","28.8","16.4","4.3","43.4","9.2","-","15.7","219.1"
"60","Trevor Lawrence","QB","JAC","22.1","8.8","9.5","17.8","22.7","15.9","BYE","13.6","5.1","9.8","8.6","18","6.8","5","10.5","12.9","10.3","18.6","12.7","216"
"61","Nick Chubb","RB","CLE","22.1","16.8","8.4","11.5","24","-","-","7.9","30.3","-","22.4","5.9","BYE","9.5","16.3","27.4","5.8","7","15.4","215.3"
"62","Terry McLaurin","WR","WAS","10.2","27.7","10.2","30.3","8.6","6.8","25.2","6.5","BYE","11.9","21.3","9.1","5.2","0","7.1","7","13.1","13.3","12.6","213.5"
"63","Damien Harris","RB","BUF","11.7","13.4","3.1","4.6","9.8","17.8","25.3","14","10.3","-","7.5","12.2","17.1","-","-","28.3","17.7","17.3","14","210.1"
"64","Teddy Bridgewater","QB","FA","20.5","21.2","11.8","6.8","19.6","21.3","14.8","12.6","21.9","9","-","16.2","14","15.2","4.9","-","-","-","15","209.7"
"65","D'Andre Swift","RB","PHI","24.4","11.8","23.7","8.9","22.4","17.7","28.4","8.1","-","16.5","22.6","3.9","-","BYE","-","-","5.9","14.6","16.1","208.9"
"66","Dalton Schultz","TE","HOU","10.5","3.8","26","17.8","13.9","12.9","-","3.1","9.4","2.4","11.3","15.6","9.3","1.4","20.7","22.2","11.4","17.1","12.3","208.8"
"67","Christian Kirk","WR","JAC","24","9.5","17.4","1.5","10","18.5","15","8.6","16.4","12.8","4.5","-","1.4","11.6","24.4","11.8","13.9","6.3","12.2","207.6"
"68","Dalvin Cook","RB","FA","20.4","16.8","-","6.4","-","22.3","-","7.8","15.2","20.8","22.5","14.3","-","35.2","11.1","-","4.3","9.2","15.9","206.3"
"69","Javonte Williams","RB","DEN","5.1","8.4","13.2","8.9","11.6","9.8","17.2","6.8","11.1","6.9","BYE","20.1","29.8","21.3","12.1","10","4.2","8.4","12.1","204.9"
"70","Amari Cooper","WR","CLE","38.9","5.4","5.6","15.9","15","10.5","-","26.2","5.7","9.1","-","-","6.1","16.1","2.8","21.5","10.8","12.9","13.5","202.5"
"71","Jared Goff","QB","DET","29.9","19.4","9.1","16.8","7.1","9.2","13","8.9","BYE","4.6","-","12.8","20.9","12.6","20.6","-","-","17.5","14.5","202.5"
