Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
193,Benjamin Watson,NO,6,42,TE,TE26,159.3
194,Mohamed Sanu,ATL,8,33,WR,WR70,159.4
195,Kalen Ballage,MIA,11,27,RB,RB62,159.7
196,Cole Beasley,DAL,8,34,WR,WR71,160.3
196,Dallas Goedert,PHI,9,28,TE,TE27,160.3
198,T.J. Yeldon,JAX,9,29,RB,RB63,160.5
199,Josh Doctson,WAS,4,30,WR,WR72,160.6
200,Theo Riddick,DET,6,32,RB,RB64,160.9
201,Wil Lutz,NO,6,29,K,K4,161.1
202,Eric Decker,NE,11,36,WR,WR73,161.2
203,Rishard Matthews,TEN,8,33,WR,WR74,161.9
203,Frank Gore,MIA,11,40,RB,RB65,161.9
205,James Washington,PIT,7,27,WR,WR75,162.1
206,Mitch Trubisky,CHI,5,28,QB,QB24,162.2
207,Chris Ivory,BUF,11,35,RB,RB66,162.3
208,Jeremy Hill,NE,11,30,RB,RB67,162.5
209,Tyrell Williams,LAC,8,31,WR,WR76,163.2
210,Andy Dalton,CIN,9,35,QB,QB25,163.8
211,Carolina Panthers,CAR,4,null,DST,DST12,163.9
211,Courtland Sutton,DEN,10,27,WR,WR77,163.9
213,Martavis Bryant,LV,7,31,WR,WR78,164
214,Christian Kirk,ARI,9,26,WR,WR79,164.2
215,Cordarrelle Patterson,NE,11,32,RB,RB68,164.4
216,Blake Bortles,JAX,9,31,QB,QB26,164.5
217,Austin Ekeler,LAC,8,28,RB,RB69,164.9
218,Spencer Ware,KC,12,31,RB,RB70,165
219,Matt Bryant,ATL,8,48,K,K5,165.2
219,Pittsburgh Steelers,PIT,7,null,DST,DST13,165.2
221,Arizona Cardinals,ARI,9,null,DST,DST14,165.5
222,Baker Mayfield,CLE,11,28,QB,QB27,165.8
223,Daniel Carlson,MIN,10,28,K,K6,166
224,Dallas Cowboys,DAL,8,null,DST,DST15,166.4
225,Atlanta Falcons,ATL,8,null,DST,DST16,166.5
226,Case Keenum,DEN,10,35,QB,QB28,166.6
227,Chris Boswell,PIT,7,32,K,K7,166.7
228,Green Bay Packers,GB,7,null,DST,DST17,166.8
229,Harrison Butker,KC,12,28,K,K8,167.1
230,Lamar Jackson,BAL,10,26,QB,QB29,167.2
231,Tennessee Titans,TEN,8,null,DST,DST18,167.3
232,Kansas City Chiefs,KC,12,null,DST,DST19,169.2
233,Jake Elliott,PHI,9,28,K,K9,169.4
234,Cleveland Browns,CLE,11,null,DST,DST20,169.7
235,Mason Crosby,GB,7,38,K,K10,170.1
236,Detroit Lions,DET,6,null,DST,DST21,170.6
237,Dan Bailey,DAL,8,35,K,K11,171.1
238,Robbie Gould,SF,11,40,K,K12,171.6
239,Matt Prater,DET,6,38,K,K13,171.8
240,Adam Vinatieri,IND,9,50,K,K14,172.8
241,Brandon McManus,DEN,10,32,K,K15,173
241,Washington Commanders,WAS,4,null,DST,DST22,173
243,Terrance Williams,DAL,8,33,WR,WR80,174
244,Ryan Succop,TEN,8,36,K,K16,174.2
244,Kai Forbath,MIN,10,35,K,K17,174.2
246,Graham Gano,CAR,4,36,K,K18,174.4
247,Albert Wilson,MIA,11,31,WR,WR81,175
248,Ryan Grant,IND,9,32,WR,WR82,176
249,Mike Wallace,PHI,9,36,WR,WR83,177
250,Seattle Seahawks,SEA,7,null,DST,DST23,178
250,Brandon LaFell,LV,7,36,WR,WR84,178
252,Ted Ginn Jr.,NO,6,38,WR,WR85,179
253,Willie Snead IV,BAL,10,30,WR,WR86,180
254,Las Vegas Raiders,LV,7,null,DST,DST24,181
254,Zay Jones,BUF,11,28,WR,WR87,181
256,Miami Dolphins,MIA,11,null,DST,DST25,182
